symbol,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
NLRX1,3,4,5,2,3,1,6,3,2,3,3,2,0,1,3,2,8,2,5,5,9,9,2,3
NOD1,2,1,1,2,1,1,3,2,1,3,1,1,0,1,1,2,1,1,2,2,5,2,2,0
NOD2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
NODAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOG,0,0,0,1,0,0,0,0,0,3,0,4,0,10,0,0,0,0,1,0,0,0,0,0
NOS1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
NOS3,1,3,0,0,2,0,2,0,0,0,0,2,1,0,4,0,0,0,0,0,1,0,0,0
NOTCH1,8,5,6,1,6,9,4,6,5,3,2,3,0,8,16,0,8,2,2,7,9,3,3,1
NOTCH3,3,23,1,9,9,1,1,5,25,14,22,1,0,17,0,1,0,0,2,0,6,17,0,4
NOTUM,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,150,67,0,0,0
NOX4,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NPPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPPC,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0
NPR1,0,0,0,1,0,0,0,2,3,1,0,0,0,30,0,0,3,3,0,0,0,0,0,0
NPR2,1,0,3,2,6,3,2,1,0,0,0,0,0,2,5,6,2,0,2,6,2,0,1,0
NPRL2,7,5,7,3,6,4,6,6,4,4,6,4,3,5,5,8,3,5,4,7,3,7,4,8
NPRL3,4,8,9,3,3,4,9,6,8,8,4,2,6,3,8,4,13,5,3,10,9,6,8,4
NPY,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,557
NPY1R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR1H3,1,4,3,3,2,1,3,7,2,1,1,0,8,1,0,2,1,1,2,3,8,6,1,0
NR4A1,4,4,17,5,4,7,5,0,6,1,3,16,1,1,2,1,1,16,0,0,3,1,11,9
NRF1,6,6,6,4,5,5,5,4,5,4,4,7,6,5,5,4,5,5,4,5,5,4,5,6
NRG1,2,0,0,0,0,1,0,0,2,1,0,3,0,2,0,0,4,0,1,0,0,0,0,0
NRG2,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
NRG3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
NSMAF,15,9,9,7,6,11,8,14,12,6,12,3,5,9,29,11,9,8,8,13,10,7,8,12
NTF3,0,0,0,3,0,0,0,0,0,0,0,0,5,5,0,3,0,0,0,0,0,0,0,0
NTF4,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,2,0,0
NTRK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTRK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTRK3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTSR1,0,0,1,0,79,0,0,4,3,0,0,14,0,0,13,15,0,0,3,56,0,0,0,0
NUMB,5,5,4,9,7,5,6,7,5,7,7,5,8,8,8,9,22,5,6,7,10,13,7,8
NUMBL,3,4,4,2,6,4,1,4,5,6,2,2,3,2,5,7,5,4,3,4,4,3,5,1
OPRD1,1,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
ORAI1,9,7,11,11,9,15,8,18,9,10,7,15,7,7,12,8,10,13,8,6,10,14,18,2
ORAI2,5,6,10,3,2,7,2,9,1,4,0,1,4,4,6,8,2,3,5,5,10,2,4,4
ORAI3,3,3,2,2,2,3,1,1,0,2,1,0,3,1,2,5,1,2,8,2,4,3,2,1
OSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSMR,17,0,7,13,18,23,0,23,19,34,28,20,7,4,0,11,11,0,37,0,0,7,13,3
OXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OXTR,0,0,0,4,0,0,0,4,0,5,0,0,0,14,0,5,4,0,3,0,0,0,0,1
P2RY1,2,0,1,0,1,3,26,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,3,3
PAK1,10,9,11,9,10,7,13,6,5,7,8,5,15,70,12,8,9,5,13,9,17,13,10,9
PAK2,20,25,15,37,24,24,21,13,17,28,11,34,18,37,29,22,32,17,24,36,24,68,21,24
PAK4,6,6,9,13,7,8,3,5,4,21,8,6,20,30,5,4,8,5,4,5,17,12,7,25
PAK6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARD3,9,10,6,7,12,7,9,8,9,14,13,7,8,15,18,9,20,7,8,8,13,5,4,4
PARD6A,1,1,0,3,3,0,3,1,0,1,1,3,2,2,3,0,1,0,4,6,4,9,0,4
PARD6B,0,2,0,4,10,0,2,1,0,5,1,4,6,6,2,0,1,0,0,4,8,15,0,1
PARD6G,3,2,2,1,5,3,2,1,1,1,0,1,0,1,2,0,4,7,0,0,0,0,3,1
PCK2,13,58,6,13,27,6,20,6,5,4,37,7,10,12,18,30,3,11,4,18,30,15,2,2
