symbol,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
FAM163A,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,2,-1,-2,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0
FAM163B,0,-1,-1,1,-1,0,-1,-1,0,-1,-1,-1,0,0,-1,1,-1,0,0,-1,1,-1,-1,-1,1,0,1,-1,0,1,-1,-1,0,-1,1,0,-1,1,1,-1,-1,-1
FAM166A,0,-1,-1,1,-1,0,-1,-1,0,-1,-1,-1,0,0,-1,1,-1,0,0,-1,1,-1,-1,-1,1,0,1,-1,0,0,-1,-1,0,0,1,0,-1,1,1,-1,-1,-1
FAM166B,0,0,-1,1,-1,1,-1,-1,0,-1,0,-1,0,-1,-1,1,-1,0,2,-1,-1,-1,1,-1,-1,-1,-1,1,0,1,0,1,-1,2,1,0,-1,-1,1,-1,-1,-1
FAM167A,-1,0,-1,1,0,0,-1,-1,0,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,0,0,0,0,-1,0,-1,0,0
FAM167A-AS1,-1,0,-1,1,0,0,-1,-1,0,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,0,0,0,0,-1,0,-1,0,0
FAM167B,-1,-1,-1,1,-1,-1,-1,-1,0,-1,0,1,0,1,0,0,-1,-1,1,-1,-1,1,-1,0,-1,0,1,1,0,1,0,1,-1,0,0,0,-1,-1,1,1,0,-1
FAM168A,-1,0,0,-1,0,0,2,-1,0,1,-1,1,0,0,0,1,1,0,1,1,-1,1,2,0,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,0,1,1,-1,-1,-1,1
FAM168B,1,0,1,-1,0,-1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,-1,1,0,0,1,0,1,-1,1,-1,0,-1,0,0,-1,0,1,1,-1
FAM169A,1,1,0,1,1,0,-1,0,0,1,0,-1,0,0,0,1,0,0,-1,-1,1,1,0,-1,1,-1,1,0,1,-1,0,1,0,0,0,1,1,1,1,-1,0,0
FAM169B,0,1,0,-1,0,1,1,0,0,0,-1,-1,0,0,0,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,1,0,0,1,0,1,0,0,-1,0,0,-1,1,1,0,-1
FAM170A,1,1,0,1,1,0,-1,0,0,1,0,-1,0,0,0,1,1,0,0,2,1,1,0,1,1,-1,1,0,1,1,1,1,0,0,0,1,0,1,1,-1,0,0
FAM170B,0,0,1,-1,-1,0,-1,-1,0,-1,0,-1,0,1,0,-1,-1,0,0,0,1,1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,1,1,-1,-2,-1,-1
FAM171A1,-1,0,0,0,0,0,1,0,0,-1,1,-1,0,0,0,0,0,0,-1,0,-1,1,-1,-1,-1,-2,0,-1,-1,-1,0,-1,-1,0,-1,0,0,1,-1,-1,-1,-1
FAM171A2,1,1,1,-1,0,0,-1,0,0,0,0,-1,0,0,0,1,-1,0,-1,0,1,1,1,-1,1,1,0,1,1,-1,1,0,0,1,-1,0,-1,1,1,0,0,-1
FAM171B,1,0,1,-1,0,-1,1,0,0,1,1,-2,0,1,0,1,1,0,1,0,1,1,0,-1,1,0,1,1,0,1,0,1,-1,1,-1,0,1,-1,0,1,1,0
FAM172A,1,1,0,1,1,1,-1,0,-2,1,-1,-1,0,0,2,1,1,0,0,-1,1,1,0,-1,1,1,1,0,1,-1,2,1,0,0,0,1,-1,1,1,0,0,0
FAM172BP,0,0,0,0,1,-1,-1,0,0,0,0,1,-1,-1,0,0,0,0,0,1,0,0,1,1,-1,1,0,-1,0,1,1,1,1,0,1,0,0,1,0,1,-1,1
FAM173A,-1,-1,1,-1,-1,-1,-1,-2,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,0,1,-1,1,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,-1,1
FAM173B,1,0,0,1,1,1,1,0,0,1,1,1,0,1,-1,1,-1,1,1,1,1,0,0,0,0,1,-1,1,1,0,-1,0,1,0,1,1,1,1,1,-1,1,-1
FAM174A,1,1,0,1,1,0,-1,0,-2,1,1,-1,0,0,0,1,1,0,0,-1,1,1,0,1,1,1,1,0,1,-1,2,1,0,0,0,1,0,1,1,0,0,0
FAM174B,0,1,0,-1,0,0,1,-1,0,-1,-1,-1,0,0,0,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,1,0,0,1,-1,1,0,0,-1,0,0,-1,1,0,0,-1
FAM177A1,-1,0,0,-1,-1,2,0,0,0,0,1,0,0,-1,0,0,1,0,-1,0,1,0,1,-1,1,1,-1,-1,-1,0,0,-1,-1,0,0,0,0,1,0,0,0,-1
FAM177B,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,-1,0,1,0,1,1,0,-1,-1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0
FAM178B,1,0,1,-1,0,-1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,-1,0,-1,0,0,-1,-1,0,0,-1
FAM180A,1,0,1,0,1,0,1,0,0,0,2,1,1,1,1,0,1,1,0,1,1,1,0,2,1,1,1,1,1,0,1,1,1,-1,1,1,1,-1,1,1,1,1
FAM180B,1,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,1,1,0,1,-1,-1,1,1,-1,-1,1,-1,1,0,-1,-1,-1,0,0,-1,0,1,1,1,-1,-1,1
FAM181A,-1,0,-1,-1,-1,1,0,-1,0,0,-1,-1,0,-1,0,-1,1,0,-1,0,1,1,1,0,-1,1,-1,2,-1,-1,0,-1,0,0,0,0,-1,1,-1,-1,1,-1
FAM181A-AS1,-1,0,-1,-1,-1,1,0,-1,0,0,-1,-1,0,-1,0,-1,1,0,-1,0,1,1,1,0,-1,1,-1,2,-1,-1,0,-1,0,0,0,0,-1,1,-1,-1,1,-1
FAM181B,-1,1,0,0,0,1,1,1,0,-1,-1,1,0,0,0,1,1,1,1,-1,0,1,-1,0,1,1,1,1,0,-1,-1,1,-1,0,-1,0,1,1,-1,-1,0,1
FAM182A,1,1,0,1,-1,1,1,0,0,1,1,1,1,-1,0,1,1,0,1,1,1,-1,1,-1,1,1,0,1,0,1,-1,1,1,0,1,0,1,1,-1,1,1,1
FAM182B,1,1,0,1,-1,1,1,0,0,1,1,1,1,-1,0,1,1,0,1,1,1,-1,1,-1,1,1,0,1,0,1,-1,1,1,0,1,0,1,1,-1,1,1,1
FAM183A,-1,-1,-1,1,0,-1,2,-1,0,-1,0,1,0,1,0,0,-1,-1,1,-1,-1,1,-1,0,-1,0,1,1,0,1,0,1,-1,0,0,0,0,-1,1,0,0,-1
FAM183BP,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,-1,0,0,1,1,1,1,0,1,-1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1
FAM184A,-1,-1,0,1,-1,-1,1,0,0,-1,-1,-1,-1,0,0,0,-1,-1,1,-1,0,0,0,-1,-1,0,-1,1,0,0,0,0,-1,0,0,0,1,-1,0,-1,-1,0
FAM184B,0,-1,0,-1,1,1,-1,0,0,0,0,-1,-1,0,0,-1,0,0,-1,1,-1,0,0,-1,-1,1,-1,-1,0,-1,0,-1,0,0,-1,0,-1,-1,0,-1,-1,-1
FAM185A,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,2,0,0,1,1,1,-1,2,-1,1,1,1,1,0,1,1,1,-1,1,1,1,-1,-1,1,1,1
