symbol,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
ABHD12B,0,0,-1,-1,0,0,0,-1,1,0,1,0,0,1,0,-1,0,-1,1,0,0,1,0,0
ABHD13,1,0,2,-1,1,-1,0,-1,0,-1,-1,-1,1,0,0,-1,-1,-1,1,1,-1,-1,-1,2
ABHD14A,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,1
ABHD14A-ACY1,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,1
ABHD14B,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,1
ABHD15,0,0,0,-1,0,0,0,-1,1,0,1,0,1,1,0,-1,0,0,-1,0,0,1,0,1
ABHD16A,1,0,-1,2,-2,0,0,-1,-1,-1,-2,0,0,-1,1,-1,0,1,-1,0,-1,0,-1,0
ABHD16B,0,0,1,2,-1,2,0,-1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
ABHD17A,-2,0,-1,-1,-1,-1,0,-1,-1,-1,-2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1
ABHD17B,0,0,1,-1,0,0,0,0,1,1,-1,0,1,-1,0,-1,1,-1,-1,0,1,-1,-1,0
ABHD17C,0,0,0,1,-1,1,1,-2,1,0,1,0,0,-1,1,1,0,1,1,0,0,0,-1,1
ABHD18,0,0,-1,1,0,-1,0,-1,0,0,-1,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,0
ABI1,0,0,-1,1,0,-1,0,1,-1,0,1,0,2,-1,1,1,0,0,-1,0,0,-1,-1,0
ABI2,0,0,-1,-1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,-1,1,0
ABI3,0,0,0,0,1,0,0,-1,1,0,1,0,1,0,0,-1,0,0,1,0,0,1,0,1
ABI3BP,0,0,1,2,0,1,0,1,0,0,0,1,0,1,-1,1,0,1,-1,0,0,1,-1,0
ABL1,0,0,-1,-1,-1,-1,0,0,1,0,-1,-1,-2,-1,2,-1,0,-1,-1,-1,0,1,-1,1
ABL2,1,1,1,-1,0,0,0,0,1,0,-1,0,0,0,-2,-1,0,1,1,0,0,1,1,0
ABLIM1,0,0,1,1,2,-1,0,1,1,1,1,-1,0,1,0,-1,0,0,-1,0,0,-1,-1,-1
ABLIM2,0,0,-1,-1,-1,-1,0,1,-2,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,0,-1,-1,0
ABLIM3,0,0,0,1,-1,0,1,1,1,0,1,1,0,1,1,-1,0,1,0,0,1,1,-1,0
ABO,0,0,-1,-1,-1,-1,0,0,1,0,-1,-1,1,-1,2,-1,-1,-1,-1,-1,0,1,-1,1
ABR,-1,0,-1,-1,-1,-1,0,1,1,0,1,-1,0,-1,0,-1,-1,-1,-1,1,-1,-1,0,1
ABRA,1,0,1,0,2,0,0,-1,0,2,-1,1,1,0,1,1,1,0,0,1,0,2,1,1
ABRACL,0,-2,-1,-1,0,-1,0,1,0,0,-1,0,0,0,-1,1,0,-1,1,1,0,-1,-1,0
ABRAXAS1,0,0,-1,-1,0,-1,0,-1,0,0,-1,0,-1,0,-1,-1,0,-1,1,0,0,-1,-1,1
ABRAXAS2,0,0,0,1,1,-1,0,-1,1,0,0,-1,0,1,1,-1,0,0,-1,0,0,-1,-1,-1
ABT1,1,0,-1,1,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,-1,0,0,1,-1,1
ABTB1,0,0,-1,1,0,1,0,-1,-1,0,-1,1,0,1,0,1,0,1,1,0,0,0,1,0
ABTB2,0,0,0,-1,0,0,1,0,-1,0,-1,-1,1,1,1,-1,0,-1,1,1,0,1,-1,0
ACAA1,0,0,0,-1,0,1,0,-1,-1,0,-1,-1,-1,0,0,1,-1,-1,-1,0,-1,1,-1,1
ACAA2,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,1,-2,-1,-1,-1,0
ACACA,0,0,0,-1,0,0,0,-1,1,0,1,0,1,-1,0,-1,0,-1,1,0,0,1,0,1
ACACB,0,0,0,-1,0,0,1,-1,1,0,1,1,1,0,1,-1,0,0,0,0,0,1,0,1
ACAD8,0,0,0,-1,0,-1,1,-1,-1,1,-1,-1,1,-1,0,1,-1,-1,-1,1,1,2,-1,1
ACAD9,0,0,-1,1,0,1,0,-1,-1,0,-1,1,0,1,0,1,0,1,1,0,0,0,2,0
ACAD10,0,0,0,-1,0,0,1,-1,1,0,1,1,1,1,1,-1,0,0,1,0,0,1,0,1
ACAD11,0,0,0,1,0,1,0,0,-1,0,0,1,0,1,0,1,0,1,1,0,0,0,2,0
ACADL,0,-1,-1,-1,0,0,0,-1,1,1,1,0,0,0,-1,1,0,0,1,1,0,-1,1,0
ACADM,0,0,1,2,0,-1,0,1,0,1,-1,0,0,0,0,1,-1,1,1,0,-1,-1,-1,0
ACADS,0,0,0,1,0,0,1,0,1,0,1,1,1,-1,1,-1,0,0,1,0,0,1,0,1
ACADSB,0,0,0,1,2,-1,0,-1,1,0,0,-1,0,1,-1,-1,0,0,-1,0,0,-1,-1,-1
ACADVL,-1,0,-1,-1,-1,-1,0,0,1,0,1,-1,0,-1,0,-1,-1,-1,-1,1,-1,-1,0,-1
ACAN,0,0,0,2,-1,1,1,0,1,0,1,0,0,-1,1,1,0,1,1,0,0,-1,0,1
ACAP1,-1,0,-1,-1,-1,-1,0,0,1,0,1,-1,0,-1,0,-1,-1,-1,-1,1,-1,-1,0,-1
ACAP2,1,0,-1,2,0,1,0,-1,-1,-1,-1,1,0,1,-1,1,0,1,1,1,0,2,1,0
ACAP3,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,1,0,2,1,0,0,1,1,-1,0,-1,0,1
ACAT1,0,0,-1,-1,0,-1,1,-1,0,0,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1
ACAT2,0,-1,-1,1,0,-1,0,-1,0,0,-1,0,0,-1,-2,1,0,-1,1,1,0,-1,-1,0
ACBD3,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,-1,0,1,1,0,0,1,1,0
ACBD4,0,0,-1,0,0,0,0,-1,1,-1,1,0,1,1,1,-1,1,0,1,-1,0,1,0,1
ACBD5,0,0,-1,1,0,-1,0,1,-1,0,1,0,2,0,1,1,0,0,-1,0,0,-1,-1,0
ACBD6,1,1,2,-1,0,0,0,0,1,0,1,0,0,0,0,-1,0,1,1,0,0,1,1,0
ACBD7,0,0,-1,1,0,-1,0,-1,-1,-1,0,0,-1,-1,1,1,0,0,-1,0,0,1,-1,0
ACCS,0,0,0,-1,0,-1,1,1,-1,0,-1,-1,1,1,1,-1,0,-1,1,1,0,1,-1,0
ACCSL,0,0,0,-1,0,-1,1,1,-1,0,-1,-1,1,1,1,-1,0,-1,1,1,0,1,-1,0
ACD,0,0,0,-1,0,0,0,-1,1,1,-1,0,0,1,1,0,2,-1,1,2,0,0,-1,-1
ACE,0,0,-1,0,2,0,0,-1,1,0,1,0,0,0,0,-1,0,0,1,1,0,1,1,0
ACER1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0,-1
ACER2,0,0,1,-1,0,-1,0,-1,0,0,-1,-1,-1,1,-2,-1,-1,-1,-1,-1,0,-1,-1,1
ACER3,0,0,0,1,-1,-1,1,-1,-1,0,-1,1,1,2,1,0,-1,-1,1,1,1,1,-1,1
ACHE,1,0,0,1,0,0,1,0,1,0,1,1,1,-1,1,1,-1,0,-1,1,0,-1,1,1
ACIN1,0,0,-1,0,0,0,0,1,1,-1,1,1,0,-1,0,-1,0,-1,0,0,0,-1,0,0
ACKR1,1,1,1,-1,0,0,0,1,1,0,1,1,-1,0,-1,-1,0,1,1,0,0,1,0,0
ACKR2,0,0,0,-1,0,0,0,-1,-1,0,-1,-1,-1,0,0,1,-1,-1,-1,1,-1,1,-1,1
ACKR3,0,0,-1,-1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,-1,1,0
