gene_name,R1262106,R1287407,R1489314,R1531359,R1617674,R1687970,R1710143,R1822146,R2079629,R2111091,R2516394,R2575548,R2624931,R2678902,R2731324,R2731764,R2803490,R3408213,R3477250,R3535957,R3739042,R3740754,R3741788,R3757880,R3874626,R4119160,R4147686,R4276053,R4531942,R4917253,R5177066,R5211056,R5334541,R5369295,R5449861,R5546461,R5766881,R5965031,R6114572,R6132310,R6759986,R6847727,R6862468,R7025378,R7295303,R7738727,R7791442,R7876628,R7881801,R7959406,R8444624,R8457289,R8626395,R8704458,R8845676,R8937093,R9088015,R9286126,R9354381,R9489952,R9596785,R9680160,R9781891,R9936070
ACVR1,0.0,0.006701,0.0,0.000805,0.007647,0.010544,0.015195,0.006496,0.0,0.00426,0.0,0.00093,0.013971,0.016976,0.003877,0.006195,0.0,0.00768,0.0,0.004048,0.020022,0.0,0.00575,0.003106,0.003227,0.001753,0.018011,0.00298,0.000602,0.0,0.006769,0.005499,0.011438,0.0,0.0,0.008423,0.0,0.000643,0.010068,0.0,0.002154,0.013677,0.0,0.006897,0.009454,0.0,0.01642,0.0,0.011935,0.001529,0.003716,0.005985,0.0,0.005571,0.005619,0.0,0.000953,0.0,0.006415,0.0,0.006271,0.004703,0.016179,0.0
ACVR1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACVR1C,0.09608325,0.073186,0.06665475,0.07032825,0.0670815,0.05129025,0.081002,0.07217425,0.07852275,0.102148,0.0654825,0.063103,0.07861475,0.058857,0.0565735,0.0863545,0.10370875,0.073407,0.07453475,0.08807725,0.08419675,0.05555125,0.0928795,0.065179,0.07918975,0.05460175,0.068219,0.09190075,0.080603,0.0571049999999999,0.05478175,0.08112325,0.07881075,0.081614,0.080176,0.0712319999999999,0.0742859999999999,0.081438,0.0670024999999999,0.0486475,0.115311,0.07877725,0.04394375,0.10293125,0.0607615,0.0790645,0.10578825,0.0487989999999999,0.05527125,0.04995225,0.08113725,0.05545275,0.06679775,0.0890695,0.06694875,0.099399,0.07340775,0.06905825,0.065266,0.0647205,0.05345875,0.08027925,0.0788215,0.105878
ACVR2A,0.041257,0.020029,0.035955,0.028869,0.024206,0.024264,0.035787,0.02555,0.014561,0.016975,0.014687,0.015042,0.025397,0.02958,0.016948,0.004282,0.019562,0.035382,0.028219,0.030922,0.029548,0.016719,0.019685,0.024556,0.03739,0.011366,0.023215,0.020132,0.018771,0.030581,0.029154,0.017515,0.042115,0.021265,0.032146,0.030002,0.003096,0.020061,0.015233,0.030263,0.006325,0.032984,0.043225,0.017062,0.022247,0.016041,0.044119,0.026994,0.019788,0.025125,0.034819,0.02506,0.00553,0.016344,0.033103,0.01916,0.030129,0.024217,0.026585,0.025338,0.032873,0.010981,0.039206,0.014832
ACVR2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM17,0.025456,0.0203835,0.018614,0.019953,0.0392865,0.029976,0.0208544999999999,0.0158034999999999,0.0144785,0.0139815,0.024659,0.0166715,0.0152265,0.017822,0.0124945,0.008746,0.0180615,0.0139134999999999,0.0133475,0.0168994999999999,0.0248465,0.015378,0.0134555,0.016341,0.0250375,0.0165424999999999,0.016413,0.013677,0.013422,0.0130705,0.0158385,0.017431,0.014684,0.019992,0.016301,0.020034,0.01868,0.0192929999999999,0.025724,0.015848,0.010806,0.0235335,0.026642,0.019639,0.0182155,0.020449,0.018872,0.0233875,0.0153745,0.0172875,0.014859,0.020462,0.01855,0.013011,0.023582,0.015233,0.016744,0.021917,0.0186775,0.013828,0.0256785,0.014255,0.0233045,0.0261409999999999
ADCY1,0.124581,0.126956,0.142718,0.090752,0.100167,0.094271,0.116547,0.108589,0.123294,0.111716,0.11859,0.101418,0.125014,0.114485,0.113207,0.086709,0.143134,0.105351,0.092293,0.096853,0.098195,0.11626,0.10675,0.132349,0.107685,0.130128,0.098444,0.11046,0.09689,0.146827,0.127782,0.108003,0.117001,0.087688,0.118264,0.125402,0.097328,0.1045,0.121535,0.101519,0.122368,0.120797,0.13032,0.126653,0.102845,0.111512,0.120646,0.101747,0.094788,0.106096,0.150377,0.129857,0.139875,0.116684,0.166191,0.134128,0.101621,0.128923,0.11717,0.121666,0.143188,0.100831,0.09728,0.108912
ADCY10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
