symbol,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
PTGER1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTGER2,0,0,0,0,0,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1
PTGS2,0,4,0,1,0,0,10,0,0,0,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
PTK2,10,15,13,15,13,9,9,16,12,13,8,13,10,9,10,16,12,14,6,10,7,9,15,15,36,14,0,11,7,7,7,7,9,10,7,0,9,10,8,6,7,19
PTK2B,4,1,1,1,9,1,7,2,2,1,1,0,0,5,2,0,0,1,4,0,6,0,3,2,0,1,26,0,0,11,0,0,1,0,0,4,2,3,0,0,0,1
PTPN1,26,13,22,31,20,34,19,18,21,43,46,17,25,33,11,34,72,58,20,45,14,24,28,27,38,10,12,40,27,23,35,45,39,23,31,10,20,27,23,55,71,50
PTPN11,24,49,89,37,31,46,32,61,32,40,29,28,41,34,44,67,31,48,28,64,42,29,44,22,55,45,27,33,38,23,28,25,40,49,29,35,43,45,27,55,36,57
PTPN2,2,4,4,6,9,11,3,8,7,14,4,3,4,6,5,5,4,6,17,14,3,15,14,5,7,8,8,7,4,3,4,2,3,7,2,14,13,3,4,4,4,4
PTPN5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPN6,3,3,5,0,3,4,0,5,6,0,1,0,6,0,5,0,10,1,4,4,1,3,5,4,3,2,11,0,0,0,0,0,0,1,0,7,7,2,0,0,0,6
PTPN7,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
PTPRF,32,27,54,12,20,74,84,43,32,54,46,54,61,0,14,61,45,55,79,35,13,24,31,29,40,26,0,62,18,8,7,9,9,48,9,0,19,48,41,7,17,79
PXN,25,26,23,23,19,91,19,32,37,19,40,9,20,17,14,72,21,53,12,49,14,6,25,16,53,79,1,26,52,15,40,58,20,22,15,13,23,29,46,45,59,32
PYCARD,0,5,8,0,2,0,1,0,0,3,0,0,0,5,0,0,7,3,5,2,0,10,1,1,0,3,10,0,0,5,0,28,14,0,0,4,0,1,0,29,0,16
PYDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYGB,54,58,50,50,47,29,67,67,52,50,48,46,78,12,243,19,47,81,37,23,123,28,29,24,30,49,23,73,41,23,162,271,275,86,134,20,89,20,112,217,123,65
PYGL,24,30,31,15,27,111,36,68,3,28,26,25,70,17,25,4,8,22,1,66,41,60,4,57,75,54,0,24,11,22,37,50,32,60,45,40,42,7,32,68,51,37
PYGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB10,121,154,65,31,50,57,49,55,48,53,45,29,47,55,63,66,71,50,60,42,75,51,43,53,48,42,46,33,52,52,46,42,47,70,48,34,37,31,83,49,40,46
RAB11B,17,13,14,21,30,44,27,24,36,22,34,20,23,23,13,15,15,28,22,20,15,29,14,32,28,19,21,22,25,20,37,21,19,27,27,31,23,20,22,21,13,27
RAB14,20,30,18,24,21,28,25,27,32,21,19,12,25,20,18,27,29,34,20,13,19,17,26,12,31,14,21,21,25,23,28,22,24,25,39,27,32,38,30,14,25,22
RAB2A,29,26,17,49,43,18,11,17,18,27,26,39,15,11,16,20,29,14,13,14,12,5,21,41,19,5,6,10,22,32,22,20,24,21,26,10,10,21,12,19,25,23
RAB5B,12,11,19,13,17,20,18,15,30,15,20,10,10,16,6,17,20,13,12,6,5,13,16,26,22,11,12,14,12,13,29,24,36,20,12,10,21,34,16,23,15,33
RAB5C,55,51,43,22,58,29,33,22,30,45,43,24,26,17,15,40,36,47,29,38,40,46,15,24,32,0,22,41,70,35,57,45,71,53,36,26,19,69,30,59,58,34
RAB8A,6,8,6,8,4,19,6,13,27,6,8,6,9,5,7,9,17,14,16,8,8,7,4,11,10,10,12,10,15,6,9,8,6,9,10,18,11,9,10,10,7,9
RAC1,113,117,154,143,150,150,113,67,96,95,134,71,93,70,50,71,86,109,99,150,70,107,70,59,129,103,69,123,135,139,125,62,86,56,100,121,101,111,227,86,95,168
RAC3,14,4,5,9,8,30,14,21,9,4,11,6,11,31,6,22,6,2,2,11,10,21,18,13,14,8,12,26,2,9,6,3,7,6,3,11,8,15,21,10,2,6
RAF1,6,13,9,28,6,13,9,10,16,20,12,14,16,16,13,14,21,20,12,16,9,15,14,15,25,19,17,21,16,10,15,12,14,19,19,16,11,29,12,8,12,12
RALA,20,13,29,17,16,12,29,15,14,13,32,12,13,34,18,16,11,19,25,12,11,19,18,23,25,20,10,14,26,18,22,8,16,12,18,32,26,20,18,12,14,25
RALB,44,37,44,18,40,27,24,21,35,26,25,19,24,34,23,33,28,20,39,20,14,16,19,10,73,23,9,20,36,25,36,65,17,41,18,15,24,19,9,31,29,18
RALBP1,12,16,26,31,34,39,20,21,21,44,27,17,18,26,7,30,13,26,49,24,14,43,33,18,37,34,22,25,17,11,21,12,17,36,15,28,15,13,32,11,11,19
RALGDS,2,1,2,7,2,3,2,7,6,3,8,2,5,7,6,3,7,8,4,4,3,7,11,3,7,3,7,4,5,2,4,3,3,4,8,35,8,6,9,3,6,5
RAP1A,5,7,9,11,14,4,12,8,9,6,16,11,9,13,11,7,16,11,18,16,6,11,7,8,22,8,6,9,11,12,20,14,6,14,15,8,5,5,9,9,19,10
RAP1B,18,14,18,9,15,8,11,6,5,15,7,7,16,12,11,14,8,7,5,20,8,7,7,8,12,7,6,10,12,9,8,6,8,10,8,11,4,7,5,6,14,11
RAP1GAP,2,1,0,0,0,1,1,2,1,0,0,1,2,12,0,0,1,0,1,1,1,1,2,4,0,1,0,0,0,0,0,1,0,5,0,0,2,0,0,15,1,0
RAPGEF1,15,9,6,10,4,16,12,10,8,8,20,5,17,13,4,9,8,19,8,10,10,12,18,5,11,4,27,19,8,16,23,10,19,15,19,9,8,12,26,9,5,8
RAPGEF2,4,3,6,2,2,1,6,6,5,5,4,3,4,6,3,3,1,5,1,1,8,49,6,1,5,1,0,3,4,2,6,2,3,6,2,3,4,1,5,2,3,4
RAPGEF3,0,0,24,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,13,7,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,1
RAPGEF4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,2,0
RAPGEF5,0,0,1,0,0,1,0,2,1,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,1,0,1,0
RAPGEF6,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,1,0,1,0,0,0
RARA,9,3,5,4,3,7,7,6,5,7,4,2,2,3,1,8,7,4,5,2,3,7,2,2,2,3,7,6,8,4,7,2,3,3,6,6,6,29,10,7,8,4
RASA1,8,10,37,20,11,13,9,11,6,31,8,10,3,8,15,38,10,35,16,7,8,9,8,3,8,12,13,5,35,10,11,9,7,13,8,14,13,10,15,6,6,14
RASA2,1,5,3,4,3,6,3,6,3,3,3,6,4,4,6,6,2,3,6,8,2,5,7,8,2,1,4,1,2,6,9,8,2,6,4,14,5,4,3,2,7,6
RASA3,7,1,7,12,6,5,2,6,1,11,12,11,2,11,2,14,1,15,2,3,7,0,0,1,11,3,37,21,10,15,3,9,9,4,12,0,29,2,8,21,9,9
RASAL1,2,0,6,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,4,0,0,25,0,0,0,0,0,1,4,0,0,3,1,0,0,0,6
RASAL2,2,2,15,4,4,5,3,2,1,2,4,3,3,0,1,1,0,6,6,3,1,3,5,5,5,1,0,2,3,3,6,4,4,4,7,3,1,3,3,3,1,5
RASGRF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0
RASGRF2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
RASGRP1,0,0,0,0,0,0,4,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
RASGRP2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
