symbol,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
EFNA1,1,-1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,-1,1,1,1,0,1,0,0,1,-1,0,1,0,1,1,-1,0,-1
EFNA2,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,-1
EFNA3,1,-1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,-1,1,1,1,0,1,0,0,1,-1,0,1,0,1,1,-1,0,-1
EFNA4,1,-1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,-1,1,1,1,0,1,0,0,1,-1,0,1,0,1,1,-1,0,-1
EFNA5,1,1,0,1,1,0,-1,0,0,1,1,-1,0,0,0,1,1,0,0,-1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0
EGFR,1,0,2,1,1,1,1,0,0,1,1,1,1,0,0,0,-1,0,2,1,-2,1,0,1,-1,1,1,1,1,2,1,0,1,-1,1,1,1,1,1,1,2,1
EGLN2,1,1,-1,-1,-1,0,-1,-1,0,1,-1,0,0,0,0,0,-1,0,1,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,-1,1,-1,0,0,0,-1,-1,-1,0,0,-1
EGLN3,-1,0,0,-1,-1,2,0,0,0,0,1,0,0,-1,0,0,1,0,-1,0,1,0,-1,0,1,1,-1,-1,-1,0,0,-1,-1,0,0,0,0,1,0,0,0,-1
EGR1,1,0,0,1,1,-1,0,0,0,1,0,-1,0,0,0,1,1,0,0,1,1,1,1,2,0,-1,0,1,1,1,1,1,0,2,-2,1,0,0,1,-1,-1,-1
EGR2,-1,0,1,0,1,1,0,0,0,-1,1,-1,0,1,0,0,0,0,0,0,1,1,1,1,1,2,-1,-1,-1,-1,0,-1,-1,0,-1,0,1,1,0,-1,-1,0
EGR3,-1,-1,-1,1,0,0,-1,-1,2,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,0,0,0,0,-1,0,-2,0,-1
EHHADH,-1,-1,0,0,1,1,-1,0,0,-1,1,1,-1,0,0,0,0,0,-1,1,-1,1,1,0,-1,0,1,-1,0,1,1,1,1,0,1,0,1,2,1,1,1,1
EI24,-1,-1,0,0,-1,0,-1,0,0,1,-1,0,0,0,0,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,1
EIF4B,-1,0,1,-1,1,0,-1,-1,0,-1,0,-1,0,0,0,1,1,-1,-1,1,1,-1,0,0,-1,1,0,0,0,-1,-1,-1,0,0,-1,0,1,1,-1,2,0,1
EIF4E,0,-1,0,-1,0,-1,1,0,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,0
EIF4E1B,1,0,0,1,1,-1,0,0,0,1,0,-1,0,0,0,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,-1,0,0,1,0,0,1,-1,-1,-1
EIF4E2,-1,0,1,-1,0,-1,0,0,0,0,-1,1,0,-1,0,1,-1,-1,-1,0,1,1,-1,-1,-1,0,-1,1,0,1,-1,1,0,0,-1,0,0,-1,0,0,1,-1
EIF4EBP1,-1,0,0,1,0,0,-1,0,0,0,-1,1,1,0,0,1,-1,-1,-1,-1,-1,0,1,-1,1,-1,-1,-1,0,1,0,-1,0,0,0,0,0,1,0,-2,0,0
ELAVL1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,1,0,0,1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,0,-1
ELF5,1,0,0,-1,0,-1,-1,0,0,0,-1,-1,-1,0,0,1,-1,0,1,-1,-1,1,1,-1,-1,1,-1,2,0,0,0,-1,0,0,-1,0,1,1,1,-1,-1,1
ELMO1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,-1,0,0,1,1,1,1,0,1,-1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1
ENAH,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,-1,0,1,0,1,1,0,-1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,-1
ENO1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,0,1,0,1,0,-1,-1,-1,-1,1,-1,1,2,0,-1,0,1,1,0,1,0,2,-1,0,0,0,0,-1,0,1,0,-1
ENO2,-1,0,1,0,1,-1,0,0,0,1,-1,-1,0,-1,0,1,-1,-1,-1,1,-1,-1,-1,0,1,-1,0,1,0,0,0,-1,0,-1,-1,0,1,-2,0,-1,0,1
ENO3,1,1,1,1,-1,0,-1,-1,0,-1,-1,1,0,-1,0,0,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,0,-1,-1,0,1,-1,1,0,0,-1
ENO4,0,0,1,-2,0,0,0,2,0,-1,0,-1,0,-1,0,-1,0,0,-1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1,-1
