gene_name,R1042011,R1218460,R1407047,R1660726,R1743384,R1924801,R2045909,R2237803,R2373966,R2455930,R2494273,R2543886,R2880377,R2881301,R3143439,R3176125,R3368249,R3811781,R3922205,R3978789,R4260171,R4527133,R4641987,R5234179,R5374583,R5541746,R5656511,R5739959,R5850046,R5907586,R5927382,R5973191,R6001210,R6058053,R6108690,R6231758,R6267541,R6292415,R6392007,R6665276,R6698302,R6743664,R6751504,R6765868,R6879714,R7143693,R7325259,R7483736,R7796947,R7911202,R7915228,R8044591,R8155560,R8293796,R8466373,R8759568,R8774534,R9072353,R9101940,R9127940,R9330569,R9419876,R9598418,R9904978
ACVR1,0.001338,0.021286,0.0,0.009449,0.014347,0.0,0.0,0.0,0.001504,0.002858,0.015,0.0,0.004914,0.0,0.0,0.0,0.0,0.0,0.011203,0.00361,0.0,0.000429,0.002456,0.0,0.004491,0.0,0.0,0.0,0.005181,0.003887,0.012159,0.00234,0.0,0.010426,0.0,0.0,0.0,0.0,0.0,0.0,0.004951,0.026241,0.002997,0.010239,0.0,0.0,0.0,0.000201,0.0015,0.014904,0.0,0.004814,0.0,0.0,0.002871,0.008217,0.0,0.000317,0.008784,0.0,0.004301,0.022364,0.005465,0.013782
ACVR1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACVR1C,0.0890055,0.043021,0.07249275,0.06009,0.059699,0.0720885,0.08186275,0.0617887499999999,0.07471575,0.09428575,0.0742155,0.04643875,0.09174675,0.06775525,0.065468,0.07133725,0.07241175,0.06277975,0.06205725,0.08179825,0.0811684999999999,0.05848125,0.0864525,0.05757025,0.09165025,0.0527542499999999,0.0650695,0.07049675,0.072197,0.09470225,0.07630225,0.0697687499999999,0.08053325,0.0484865,0.05926625,0.07276275,0.06599075,0.0634565,0.075038,0.0746745,0.0673962499999999,0.06673125,0.0851615,0.08703725,0.06019275,0.0638615,0.1054374999999999,0.046993,0.083844,0.08047425,0.06769875,0.03947075,0.0852875,0.07999175,0.06613625,0.0618127499999999,0.0806615,0.0418265,0.05875375,0.07112775,0.073285,0.06344825,0.07251,0.058648
ACVR2A,0.035073,0.016639,0.037848,0.042195,0.0187,0.012298,0.024688,0.023184,4.8e-05,0.02676,0.022659,0.029466,0.014247,0.025414,0.012788,0.018584,0.021564,0.013378,0.026362,0.032657,0.035822,0.017084,0.007108,0.033574,0.031137,0.03402,0.044158,0.02497,0.018191,0.02133,0.013899,0.009559,0.019812,0.022163,0.017871,0.023993,0.034853,0.015721,0.028905,0.019711,0.027563,0.027235,0.017827,0.017355,0.025565,0.024414,0.018399,0.019779,0.018703,0.016691,0.01981,0.015109,0.014033,0.028443,0.034871,0.016961,0.019817,0.017767,0.028666,0.005829,0.031757,0.040269,0.041129,0.029214
ACVR2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM17,0.0221465,0.016393,0.0151715,0.012357,0.0156525,0.0156239999999999,0.009832,0.0166475,0.021733,0.0273015,0.021912,0.0169865,0.016167,0.01357,0.009981,0.020921,0.0110305,0.0132094999999999,0.016876,0.0240519999999999,0.0173505,0.0270639999999999,0.0099205,0.018601,0.0265634999999999,0.0267934999999999,0.0115135,0.028231,0.0165365,0.0170485,0.0182205,0.0106905,0.016335,0.0236714999999999,0.0184534999999999,0.0179885,0.0212564999999999,0.015708,0.0226035,0.009625,0.018139,0.026336,0.015072,0.0223465,0.007588,0.0168315,0.0143105,0.0238765,0.0145655,0.021175,0.0093455,0.0211765,0.0186339999999999,0.0295505,0.0247,0.0256554999999999,0.0162005,0.028425,0.0221055,0.0139955,0.012265,0.0241535,0.030399,0.0170205
ADCY1,0.111701,0.102107,0.122434,0.122934,0.094153,0.120684,0.125592,0.144999,0.12282,0.140158,0.126155,0.102035,0.109516,0.116554,0.091819,0.096054,0.101936,0.104972,0.139304,0.129887,0.096168,0.146579,0.128798,0.110035,0.117686,0.119407,0.10316,0.122322,0.102569,0.121812,0.127773,0.104542,0.109738,0.116191,0.142906,0.112686,0.123199,0.127748,0.107374,0.09406,0.12285,0.1318,0.123408,0.157036,0.126441,0.112581,0.094361,0.115569,0.097138,0.088644,0.13597,0.117145,0.089062,0.141968,0.123888,0.122029,0.115507,0.111309,0.129427,0.097323,0.114556,0.118967,0.127146,0.091079
ADCY10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
