DrugA_idx,DrugA_target_num,DrugA_target_idfatt_sum,DrugB_idx,DrugB_target_num,DrugB_target_idfatt_sum,Cell_idx,Score,index1,Drug,Target,node_num,node_name,att_deg
1506.0,3.0,5.998427030122255,1503.0,2.0,1.8958397799124884,SW-620,3.4444444444444446,1376,1506,567,567,HDAC3,1.0194486590606697
1494.0,1.0,0.08919572479494382,1493.0,2.0,27.674487269340446,SW-620,2.555555555555556,663,1494,858,858,MTOR,0.08919572479494382
1503.0,2.0,1.8958397799124884,1500.0,2.0,2.556567858525784,SW-620,2.4444444444444446,1266,1503,858,858,MTOR,0.08919572479494382
1503.0,2.0,1.8958397799124884,1500.0,2.0,2.556567858525784,SW-620,2.4444444444444446,1266,1503,429,429,FGF2,1.8066440551175447
1502.0,3.0,5.947785895634147,1500.0,2.0,2.556567858525784,SW-620,2.333333333333333,1951,1502,566,566,HDAC2,4.03400389206112
1502.0,3.0,5.947785895634147,1500.0,2.0,2.556567858525784,SW-620,2.333333333333333,1951,1502,565,565,HDAC1,0.9449744790004655
1502.0,3.0,5.947785895634147,1500.0,2.0,2.556567858525784,SW-620,2.333333333333333,1951,1502,568,568,HDAC4,0.9688075245725617
1501.0,2.0,27.674487269340446,1503.0,2.0,1.8958397799124884,SW-620,1.7777777777777777,1097,1501,821,821,MAPT,0.3432360339709812
1501.0,2.0,27.674487269340446,1503.0,2.0,1.8958397799124884,SW-620,1.7777777777777777,1097,1501,118,118,BCL2,27.331251235369464
1503.0,2.0,1.8958397799124884,1505.0,4.0,48.63446462330224,SW-620,1.6666666666666667,1287,1503,429,429,FGF2,1.8066440551175447
1503.0,2.0,1.8958397799124884,1505.0,4.0,48.63446462330224,SW-620,1.6666666666666667,1287,1503,858,858,MTOR,0.08919572479494382
1499.0,2.0,11.355462546717664,1501.0,2.0,27.674487269340446,SW-620,1.5555555555555556,1809,1499,401,401,ESR1,10.337523948842641
1499.0,2.0,11.355462546717664,1501.0,2.0,27.674487269340446,SW-620,1.5555555555555556,1809,1499,980,980,PGR,1.0179385978750235
1502.0,3.0,5.947785895634147,1503.0,2.0,1.8958397799124884,SW-620,1.3333333333333333,1834,1502,565,565,HDAC1,0.9449744790004655
1502.0,3.0,5.947785895634147,1503.0,2.0,1.8958397799124884,SW-620,1.3333333333333333,1834,1502,566,566,HDAC2,4.03400389206112
1502.0,3.0,5.947785895634147,1503.0,2.0,1.8958397799124884,SW-620,1.3333333333333333,1834,1502,568,568,HDAC4,0.9688075245725617
1495.0,1.0,10.337523948842641,1506.0,3.0,5.998427030122255,SW-620,1.0,265,1495,401,401,ESR1,10.337523948842641
1499.0,2.0,11.355462546717664,1500.0,2.0,2.556567858525784,SW-620,0.8888888888888888,2370,1499,980,980,PGR,1.0179385978750235
1499.0,2.0,11.355462546717664,1500.0,2.0,2.556567858525784,SW-620,0.8888888888888888,2370,1499,401,401,ESR1,10.337523948842641
1494.0,1.0,0.08919572479494382,1506.0,3.0,5.998427030122255,SW-620,0.6666666666666666,808,1494,858,858,MTOR,0.08919572479494382
1492.0,12.0,54.34880780092948,1503.0,2.0,1.8958397799124884,SW-620,0.6666666666666666,851,1492,1314,1314,SRC,5.847569061002681
1492.0,12.0,54.34880780092948,1503.0,2.0,1.8958397799124884,SW-620,0.6666666666666666,851,1492,774,774,LYN,6.512252605841347
1492.0,12.0,54.34880780092948,1503.0,2.0,1.8958397799124884,SW-620,0.6666666666666666,851,1492,1325,1325,STAT5B,8.388386748951044
1492.0,12.0,54.34880780092948,1503.0,2.0,1.8958397799124884,SW-620,0.6666666666666666,851,1492,1,1,ABL1,2.4606721160526375
1492.0,12.0,54.34880780092948,1503.0,2.0,1.8958397799124884,SW-620,0.6666666666666666,851,1492,2,2,ABL2,1.620031264501963
1492.0,12.0,54.34880780092948,1503.0,2.0,1.8958397799124884,SW-620,0.6666666666666666,851,1492,442,442,FGR,2.128451279723761
1492.0,12.0,54.34880780092948,1503.0,2.0,1.8958397799124884,SW-620,0.6666666666666666,851,1492,468,468,FYN,9.682164080994292
1492.0,12.0,54.34880780092948,1503.0,2.0,1.8958397799124884,SW-620,0.6666666666666666,851,1492,599,599,HSPA8,1.0104138070280646
1492.0,12.0,54.34880780092948,1503.0,2.0,1.8958397799124884,SW-620,0.6666666666666666,851,1492,707,707,KIT,0.09589574247314636
1492.0,12.0,54.34880780092948,1503.0,2.0,1.8958397799124884,SW-620,0.6666666666666666,851,1492,737,737,LCK,7.735256151461592
1492.0,12.0,54.34880780092948,1503.0,2.0,1.8958397799124884,SW-620,0.6666666666666666,851,1492,806,806,MAPK14,0.12441789485866292
1492.0,12.0,54.34880780092948,1503.0,2.0,1.8958397799124884,SW-620,0.6666666666666666,851,1492,394,394,EPHA2,8.743297048040292
1502.0,3.0,5.947785895634147,1493.0,2.0,27.674487269340446,SW-620,0.3333333333333333,298,1502,565,565,HDAC1,0.9449744790004655
1495.0,1.0,10.337523948842641,1491.0,2.0,0.2629549278904003,SW-620,0.3333333333333333,442,1495,401,401,ESR1,10.337523948842641
1502.0,3.0,5.947785895634147,1493.0,2.0,27.674487269340446,SW-620,0.3333333333333333,298,1502,568,568,HDAC4,0.9688075245725617
1502.0,3.0,5.947785895634147,1493.0,2.0,27.674487269340446,SW-620,0.3333333333333333,298,1502,566,566,HDAC2,4.03400389206112
1504.0,4.0,19.050954411852985,1491.0,2.0,0.2629549278904003,SW-620,0.3333333333333333,1943,1504,1106,1106,PTGS2,11.832354791480274
1504.0,4.0,19.050954411852985,1491.0,2.0,0.2629549278904003,SW-620,0.3333333333333333,1943,1504,885,885,NFKB1,0.17262204570773726
1504.0,4.0,19.050954411852985,1491.0,2.0,0.2629549278904003,SW-620,0.3333333333333333,1943,1504,439,439,FGFR2,0.10530209788756696
1504.0,4.0,19.050954411852985,1491.0,2.0,0.2629549278904003,SW-620,0.3333333333333333,1943,1504,1399,1399,TNF,6.940675476777407
