SpNotation,Attention_x,cell_line_name,cell_line_num_x,mean_rank_x,Attention_y,cell_line_num_y,mean_rank_y
sp18,0.05666510786509433,BT-549,4,9,,,
sp19,0.020061699920149344,BT-549,4,38,,,
sp20,0.03746659813414994,BT-549,4,18,,,
sp21,0.017605798304908854,BT-549,4,42,0.00835321020999995,4.0,13.0
sp22,0.017467990422209666,BT-549,4,44,,,
sp23,0.0349598680299241,BT-549,4,22,,,
sp24,0.10246119626775411,BT-549,4,2,0.02828300371689995,4.0,7.0
sp25,0.02703535575091983,BT-549,4,29,,,
sp26,0.02594437766387753,BT-549,4,30,,,
sp27,0.021306138886892995,BT-549,4,36,,,
sp28,0.023311072744301393,BT-549,4,33,0.030764914900000002,4.0,6.0
sp29,0.019046707020248636,BT-549,4,40,,,
sp30,0.0439009732446895,BT-549,4,14,,,
sp31,0.048697358190136035,BT-549,4,11,,,
sp32,0.07664273666610168,BT-549,4,4,0.38437925500000003,4.0,3.0
sp33,0.024626760959222883,BT-549,4,32,,,
sp34,0.020358950457557503,BT-549,4,37,,,
sp35,0.031213039699852563,BT-549,4,25,0.01109838607999995,4.0,11.0
sp36,0.039798640366779645,BT-549,4,17,,,
sp37,0.045447036122128324,BT-549,4,13,,,
sp38,0.0628324890025185,BT-549,4,7,0.1174250962,4.0,5.0
sp39,0.03373517219096633,BT-549,4,23,,,
sp40,0.06192630343635512,BT-549,4,8,,,
sp41,0.015901235699261777,BT-549,4,46,,,
sp42,0.06330632211612068,BT-549,4,6,0.1618730955,4.0,4.0
sp43,0.045645269466548656,BT-549,4,12,,,
sp44,0.01534688845156708,BT-549,4,47,,,
sp45,0.017583819289171933,BT-549,4,43,,,
sp46,0.043151752621176216,BT-549,4,15,,,
sp47,0.029541865249160196,BT-549,4,27,0.009413272569999999,4.0,12.0
sp48,0.01610245203725262,BT-549,4,45,,,
sp1,0.023830231470319152,CAKI-1,5,33,,,
sp2,0.022314089675655856,CAKI-1,5,34,0.340630137,5.0,1.0
sp3,0.03594456984570174,CAKI-1,5,21,0.0240527385,5.0,11.0
sp4,0.025557381109645415,CAKI-1,5,29,0.10662754817166666,5.0,6.0
sp5,0.14438471570579708,CAKI-1,5,1,0.32261684599999996,5.0,2.0
sp6,0.03386626974883694,CAKI-1,5,24,0.0212599279,5.0,12.0
sp7,0.0347723444980458,CAKI-1,5,23,,,
sp8,0.01295391523809462,CAKI-1,5,48,,,
sp9,0.04858683501229507,CAKI-1,5,11,,,
sp10,0.03811954760527124,CAKI-1,5,18,,,
sp11,0.07458448354913579,CAKI-1,5,4,,,
sp12,0.035047827297276686,CAKI-1,5,22,0.010310774582999975,5.0,14.0
sp13,0.018716263727936184,CAKI-1,5,40,0.020662434334999976,5.0,13.0
sp14,0.09006284735406779,CAKI-1,5,3,,,
sp15,0.025341128913143014,CAKI-1,5,30,,,
sp16,0.02953448898393102,CAKI-1,5,25,,,
sp17,0.015943928376589898,CAKI-1,5,46,,,
sp18,0.05934314677735846,CAKI-1,5,8,,,
sp19,0.020217695723700163,CAKI-1,5,36,,,
sp20,0.04149236988160719,CAKI-1,5,16,,,
sp21,0.016055431557743603,CAKI-1,5,45,0.007789548125,5.0,17.0
sp22,0.01787230729582848,CAKI-1,5,41,,,
sp23,0.036050348831597454,CAKI-1,5,20,,,
sp24,0.09384875461189261,CAKI-1,5,2,0.03080618249999995,5.0,10.0
sp25,0.02783203397882823,CAKI-1,5,28,,,
sp26,0.024919230842108828,CAKI-1,5,31,,,
sp27,0.02006401487917193,CAKI-1,5,37,,,
sp28,0.021950636649194697,CAKI-1,5,35,0.10622882220939789,5.0,7.0
sp29,0.017344984235431606,CAKI-1,5,42,,,
sp30,0.04384982078438305,CAKI-1,5,15,,,
sp31,0.05359476859136053,CAKI-1,5,9,,,
sp32,0.0702487091118644,CAKI-1,5,5,0.31654803299999995,5.0,3.0
sp33,0.024646824199377162,CAKI-1,5,32,,,
sp34,0.019277465823948965,CAKI-1,5,39,,,
sp35,0.02838637954515969,CAKI-1,5,27,0.11563207891499999,5.0,5.0
sp36,0.03918026730415253,CAKI-1,5,17,,,
sp37,0.04464168412695185,CAKI-1,5,14,0.0322207427,5.0,9.0
sp38,0.06421324040533333,CAKI-1,5,6,0.11576029299999996,5.0,4.0
sp39,0.03614509979427883,CAKI-1,5,19,,,
sp40,0.061537660502056064,CAKI-1,5,7,,,
sp41,0.019392006998020205,CAKI-1,5,38,,,
sp42,0.05078278187681033,CAKI-1,5,10,0.09880599239999996,5.0,8.0
sp43,0.045581583662654857,CAKI-1,5,12,,,
sp44,0.014205268250418455,CAKI-1,5,47,,,
sp45,0.0170604956769125,CAKI-1,5,44,0.005791018869999984,5.0,18.0
sp46,0.0448112205944549,CAKI-1,5,13,,,
sp47,0.029173061358475628,CAKI-1,5,26,0.00909688051222,5.0,15.0
sp48,0.017242766791000515,CAKI-1,5,43,0.008463834737649976,5.0,16.0
sp1,0.030108621218088223,DU-145,6,26,0.0436480392,6.0,16.0
sp2,0.02283402648320937,DU-145,6,34,0.17537556041319982,6.0,9.0
sp3,0.038965708068947356,DU-145,6,16,0.0270131629999999,6.0,17.0
sp4,0.02282063218455209,DU-145,6,35,0.00884049199199997,6.0,29.0
sp5,0.14110557798985504,DU-145,6,1,0.368671256,6.0,5.0
sp6,0.03640865809032607,DU-145,6,19,0.0184185746,6.0,25.0
sp7,0.03441639164390834,DU-145,6,23,0.452275036475,6.0,3.0
sp8,0.012662316483823613,DU-145,6,47,,,
sp9,0.04867685351606556,DU-145,6,10,,,
sp10,0.03813675064505059,DU-145,6,18,,,
sp11,0.0719891167987654,DU-145,6,4,,,
sp12,0.03412120920713591,DU-145,6,25,0.0120503055525,6.0,27.0
sp13,0.018754877071988023,DU-145,6,41,0.021271358299999998,6.0,21.0
sp14,0.09415314458516948,DU-145,6,3,0.0243388119,6.0,20.0
sp15,0.02517780067484425,DU-145,6,31,,,
sp16,0.02728866549731033,DU-145,6,30,1.0,6.0,1.0
sp17,0.01881753497815468,DU-145,6,40,,,
sp18,0.05938517947358489,DU-145,6,8,,,
sp19,0.03575409874067566,DU-145,6,20,0.22834022674999999,6.0,8.0
sp20,0.04192960996032652,DU-145,6,14,0.020911376529999998,6.0,22.0
sp21,0.011838112955856607,DU-145,6,48,0.008817441674999984,6.0,30.0
sp22,0.018282285423515177,DU-145,6,42,0.006646417491499974,6.0,33.0
sp23,0.03559331393146152,DU-145,6,22,0.01943777359999995,6.0,23.0
sp24,0.09886379773532261,DU-145,6,2,0.5188079947,6.0,2.0
sp25,0.027934772865137392,DU-145,6,28,,,
sp26,0.019946091877074815,DU-145,6,38,,,
sp27,0.021263331950224926,DU-145,6,37,,,
sp28,0.02285237449708191,DU-145,6,33,0.0251119819872774,6.0,18.0
sp29,0.016825078703159985,DU-145,6,44,0.09766639643913329,6.0,12.0
sp30,0.04419475881943547,DU-145,6,13,0.016722832117499992,6.0,26.0
sp31,0.035648223965578214,DU-145,6,21,,,
sp32,0.07063298327203388,DU-145,6,5,0.3158045379999999,6.0,7.0
sp33,0.022752817879396415,DU-145,6,36,0.14442771599999998,6.0,10.0
sp34,0.019839577679298687,DU-145,6,39,,,
sp35,0.027551423420098264,DU-145,6,29,0.011199798903333334,6.0,28.0
sp36,0.03973746720177965,DU-145,6,15,,,
sp37,0.04770931415475934,DU-145,6,11,0.40397142970000005,6.0,4.0
sp38,0.06012782231503702,DU-145,6,7,0.11211283469999994,6.0,11.0
sp39,0.03439115113591344,DU-145,6,24,,,
sp40,0.06215844235887849,DU-145,6,6,0.04523655,6.0,15.0
sp41,0.014003153121759425,DU-145,6,46,0.008607945056666667,6.0,31.0
sp42,0.05105516057870689,DU-145,6,9,0.06597970418499997,6.0,14.0
sp43,0.03893464238123893,DU-145,6,17,,,
sp44,0.01519298746725828,DU-145,6,45,0.024446226464285698,6.0,19.0
sp45,0.016975063566096515,DU-145,6,43,0.01911369064199999,6.0,24.0
sp46,0.04465836609950818,DU-145,6,12,0.3489388941866667,6.0,6.0
sp47,0.029458511937192376,DU-145,6,27,0.07370810971444444,6.0,13.0
sp48,0.023085021409873667,DU-145,6,32,0.007470667294999975,6.0,32.0
sp1,0.029634532881274496,EKVX,7,28,,,
sp2,0.023587254515701195,EKVX,7,33,0.504880636735,7.0,4.0
sp3,0.03455250287754384,EKVX,7,22,0.024110594649999977,7.0,16.0
sp4,0.021339078265455193,EKVX,7,34,0.033412807546666666,7.0,15.0
sp5,0.14150311535507246,EKVX,7,1,0.38768184899999997,7.0,6.0
sp6,0.03611886529108694,EKVX,7,20,0.022853764899999948,7.0,18.0
sp7,0.03445819639293799,EKVX,7,23,0.438364252575,7.0,5.0
sp8,0.011464172806200329,EKVX,7,48,,,
sp9,0.05430154611901638,EKVX,7,10,,,
sp10,0.03884605625320468,EKVX,7,17,,,
sp11,0.07366367006975308,EKVX,7,4,,,
sp12,0.03437464593373785,EKVX,7,24,,,
sp13,0.018988207429396307,EKVX,7,39,0.021247961399999977,7.0,19.0
sp14,0.09266424830211864,EKVX,7,3,,,
sp15,0.026297289272470825,EKVX,7,31,,,
sp16,0.026826080355889646,EKVX,7,30,1.0,7.0,1.0
sp17,0.018050237510332804,EKVX,7,41,0.00934561891866665,7.0,25.0
sp18,0.06475856225849055,EKVX,7,6,,,
sp19,0.02964485108738737,EKVX,7,27,,,
sp20,0.0420660101554408,EKVX,7,15,0.0204445376,7.0,20.0
sp21,0.013376982258780059,EKVX,7,47,0.068191667697,7.0,13.0
sp22,0.01587261102293968,EKVX,7,46,,,
sp23,0.03873004801515383,EKVX,7,18,0.01887296483,7.0,21.0
sp24,0.10403079169177097,EKVX,7,2,0.52294769485,7.0,3.0
sp25,0.02696882826262594,EKVX,7,29,,,
sp26,0.0206015576535374,EKVX,7,36,,,
sp27,0.021133158301399425,EKVX,7,35,,,
sp28,0.02034689391969988,EKVX,7,37,0.049511248619454155,7.0,14.0
sp29,0.018700202971572953,EKVX,7,40,0.013661257838199969,7.0,23.0
sp30,0.0428071482514516,EKVX,7,13,0.015459843677999973,7.0,22.0
sp31,0.03544773404598638,EKVX,7,21,,,
sp32,0.07304050761016949,EKVX,7,5,0.363299196,7.0,7.0
sp33,0.019591489398351012,EKVX,7,38,0.17322081149999996,7.0,9.0
